0/0	13:47:02
0/0	13:52:02
0/0	13:57:02
0/0	14:02:02
0/0	14:07:02
0/0	14:12:02
0/0	14:17:02
0/0	14:22:02
0/0	14:58:24
0/0	15:03:51
0/0	15:08:51
0/0	15:13:51
0/0	15:18:51
0/0	15:23:51
0/0	15:28:51
0/0	15:33:51
0/0	15:44:39
0/0	15:51:39
0/0	15:56:39
0/0	16:01:39
0/0	16:08:54
0/0	16:13:54
0/0	16:18:54
0/0	16:23:54
0/0	16:28:54
0/0	16:33:54
0/0	16:41:58
0/0	16:46:58
0/0	16:51:58
0/0	17:00:36
0/0	17:05:36
0/0	17:10:36
0/0	17:15:36
0/0	17:20:36
0/0	17:25:36
0/0	17:30:36
0/0	17:35:36
0/0	17:40:36
0/0	17:45:36
0/0	17:50:36
0/0	19:32:31
0/0	19:37:31
0/0	19:46:14
0/0	19:51:14
0/0	19:56:14
0/0	20:01:14
0/0	20:06:14
0/0	20:16:43
