0/0	10:13:15
0/0	10:29:06
0/0	10:41:16
0/0	10:46:16
0/0	10:51:16
0/0	10:56:36
0/0	11:01:36
0/0	11:06:36
0/0	11:11:36
0/0	11:16:36
0/0	11:21:36
0/0	11:31:37
0/0	11:36:37
0/0	11:41:37
0/0	11:46:37
0/0	11:56:30
0/0	12:01:30
0/0	12:06:30
0/0	12:11:30
0/0	12:16:30
0/0	12:21:30
0/0	12:26:30
0/0	12:31:30
0/0	12:36:30
0/0	12:41:30
0/0	12:46:30
0/0	12:51:30
0/0	12:56:30
0/0	13:01:30
0/0	13:06:30
0/0	13:11:30
0/0	13:16:30
0/0	13:21:30
0/0	13:26:30
0/0	13:31:30
0/0	13:39:32
0/0	13:45:11
0/0	13:58:51
0/0	14:03:51
0/0	14:08:51
0/0	14:18:13
0/0	14:23:13
0/0	14:30:40
0/0	14:35:40
0/0	14:40:40
0/0	14:45:40
0/0	14:50:40
0/0	14:55:40
0/0	15:12:39
0/0	15:17:39
0/0	15:22:39
0/0	15:27:39
0/0	15:34:02
0/0	15:39:02
0/0	15:44:02
0/0	15:49:02
0/0	15:54:02
0/0	15:59:02
0/0	16:04:02
0/0	16:09:02
0/0	16:14:02
0/0	16:19:02
0/0	16:24:02
0/0	16:29:02
0/0	16:34:02
0/0	16:39:02
0/0	16:44:02
0/0	16:49:02
0/0	16:54:02
0/0	16:59:02
0/0	17:04:02
0/0	17:09:02
0/0	17:14:02
0/0	17:19:02
0/0	17:24:02
0/0	17:29:02
0/0	17:34:02
0/0	17:42:47
0/0	17:47:47
0/0	17:52:47
0/0	17:57:47
0/0	18:04:30
0/0	18:09:30
0/0	18:16:43
0/0	18:21:43
0/0	18:26:43
0/0	18:33:26
0/0	18:41:55
0/0	18:46:55
0/0	18:51:55
0/0	18:56:55
0/0	19:01:55
0/0	19:06:55
